,ca_gdp,cons_pct,savings_pct,fx_usd,exports_idx,real_wage,yield_10y,wap,dep_ratio,wap_chg
1976-01-01,0.7,58.2,32.1,296.4779833333333,4.710756002268539,71.48672829815641,,72.0,12.4,
1977-01-01,1.6,57.9,31.8,268.3813166666667,20.805496583840235,71.98593667209006,,73.0,12.8,1.0
1978-01-01,1.7,57.5,31.5,210.45880833333334,39.53178901901869,73.27988068689997,,74.0,13.2,1.0
1979-01-01,-0.9,57.1,31.2,219.21453333333332,-16.74332788988961,75.64596835401578,,75.0,13.6,1.0
1980-01-01,-1.0,56.8,30.8,226.576875,-24.354842891137274,75.40146783151953,,76.0,14.0,1.0
1981-01-01,0.4,56.2,30.5,220.44946666666667,18.915536923116548,75.73791650689509,,77.0,14.5,1.0
1982-01-01,0.6,55.8,30.1,249.05110833333333,16.058820324603655,77.33524126193967,,78.0,14.9,1.0
1983-01-01,1.8,55.4,29.8,237.44513333333336,43.797187925316074,78.24380648949813,,79.0,15.4,1.0
1984-01-01,2.8,54.9,29.5,237.58669999999998,71.66124880829261,79.35282030034853,,80.0,15.8,1.0
1985-01-01,3.7,54.3,29.1,238.47194166666668,100.0,80.30831460866365,,81.0,16.3,1.0
1986-01-01,4.4,53.8,32.5,168.49911666666665,178.40389277391984,81.11130995718705,,82.0,16.9,1.0
1987-01-01,3.6,53.6,33.1,144.62291666666667,172.88929168967735,82.32162278554796,,83.0,17.4,1.0
1988-01-01,2.7,53.2,33.8,128.1426,167.07151714955674,85.45688021559116,,84.0,17.9,1.0
1989-01-01,2.0,52.8,34.2,137.99470833333334,139.49910728640998,88.24302694536496,5.12725,85.0,18.4,1.0
1990-01-01,1.4,52.5,34.5,144.81816666666666,113.13224454998793,89.95228853517963,6.959916666666667,86.0,19.0,1.0
1991-01-01,2.0,52.0,34.1,134.50774166666667,168.10737752821387,90.21425078301847,6.336666666666667,87.0,19.6,1.0
1992-01-01,3.0,51.8,33.8,126.74704166666668,229.59222246746887,89.73872323425215,5.326583333333333,87.0,20.3,0.0
1993-01-01,3.1,52.1,33.2,111.23141666666668,258.11676412533654,88.96727799020935,4.320916666666666,87.0,21.0,0.0
1994-01-01,2.8,52.5,32.5,102.19525833333334,259.34874156000694,90.27866762829785,4.363333333333333,87.0,21.7,0.0
1995-01-01,2.1,52.8,31.8,94.10578333333332,227.94260617671546,93.00365743677403,3.4435000000000002,87.0,22.4,0.0
