,exports,consumption,real_wage,fx,ip
1983-01-01,72.1,88.5,91.2,98.87874116517843,85.5004941258321
1983-04-01,74.3,89.1,92.1,99.63768561795085,86.76421105893142
1983-07-01,76.8,89.8,93.4,101.70581414600639,88.92584159511725
1983-10-01,78.2,90.6,94.2,98.2175279056187,90.98769824328386
1984-01-01,80.5,91.4,94.8,96.85899580045329,94.04722261752289
1984-04-01,83.1,92.1,95.6,96.38085548144882,95.31094745663552
1984-07-01,86.4,93.0,96.8,102.18989748362802,96.74094366174913
1984-10-01,89.2,93.8,97.5,103.24757301103249,98.86930569391079
1985-01-01,91.8,94.8,98.1,108.03445776177809,99.00232436791424
1985-04-01,95.3,97.2,99.2,105.21450241971748,100.09976993501257
1985-07-01,100.0,100.0,100.0,100.0,100.0
1985-10-01,98.5,100.8,100.4,86.91382259432197,100.03325664500417
1986-01-01,91.2,100.2,100.1,78.78847160663423,99.73395079297313
1986-04-01,85.4,99.8,99.6,71.26939241933714,99.76720743797733
1986-07-01,80.1,99.5,98.9,65.37521842341364,99.46790949195959
1986-10-01,77.3,99.1,98.2,67.31328573697904,99.40140015495787
1987-01-01,75.8,98.8,97.8,64.27822108812335,100.33255459102193
1987-04-01,76.4,99.4,97.5,59.839499343331404,100.53209050804041
1987-07-01,78.9,100.3,97.9,61.656259159240456,103.89092073431053
1987-10-01,82.1,101.8,98.6,56.90743769479116,107.316264250589
1988-01-01,86.3,103.2,99.4,53.69212478717,110.1989390130133
1988-04-01,90.1,105.1,100.8,52.739074354574186,111.88258384327119
1988-07-01,93.8,107.4,102.1,56.088839318675554,113.20545752099045
1988-10-01,97.2,109.8,103.8,52.50693305560091,114.92919374476227
1989-01-01,99.8,111.9,105.2,53.927692061581425,118.17622898976961
1989-04-01,102.3,113.8,107.1,57.87535266571652,119.37886406400709
1989-07-01,105.1,115.2,108.9,59.706949052808675,119.09820059136979
1989-10-01,107.4,116.1,110.2,60.04909912227908,119.61936498901065
1990-01-01,108.9,116.8,111.4,62.084729826178574,120.78186518666098
1990-04-01,107.2,116.2,111.8,65.19119459987962,123.34744556709833
1990-07-01,104.8,115.1,111.2,60.820279201616266,125.31169457489368
1990-10-01,101.3,113.4,110.1,54.91284877828318,126.9552361526177
