,cons_pct,savings_pct,ca_gdp,fx_usd,exports_idx,reserves_b,wap,dep_ratio,wap_chg,routing_gap
1997-01-01,42.5,43.5,3.8189132504,8.319316666666667,72.9561158778247,142.76246774615728,875.0,10.5,8.0,1.2346266257913143
1998-01-01,41.2,44.2,3.0392192766,8.300625,73.86238364246734,149.1878957231261,883.0,10.7,8.0,25.09535278361171
1999-01-01,40.1,44.8,1.9174905289,8.278266666666667,77.82637192430496,157.7278744919989,891.0,10.9,8.0,12.62611011359644
2000-01-01,39.2,37.5,1.6742597873,8.278416666666667,100.0,168.27758322584341,899.0,11.1,8.0,9.939127786336076
2001-01-01,38.5,38.5,1.287970815,8.277008333333333,107.26497295145944,215.6051276171398,907.0,11.3,8.0,-29.87506857628567
2002-01-01,37.8,40.2,2.3827210563,8.277050000000001,130.1678965853657,291.1278282052119,916.0,11.5,9.0,-40.024405668531074
2003-01-01,36.5,42.5,2.5611575756,8.277183333333333,174.96408100961557,408.1506590485927,925.0,11.7,9.0,-73.89541365753584
2004-01-01,35.2,44.8,3.4837373402,8.2768,236.1790048442049,614.4995243496005,934.0,11.9,9.0,-137.22466914039376
2005-01-01,34.1,46.2,5.6924366937,8.194,304.99700538165735,821.5138496955664,942.0,12.1,8.0,-75.0891848603303
2006-01-01,35.2,48.5,8.2881435647,7.972033333333333,387.47410013782536,1068.493029869899,950.0,12.3,8.0,-15.615779141901697
2007-01-01,36.1,50.2,9.7774675101,7.605933333333334,488.3031361624469,1530.2816230433682,958.0,12.6,8.0,-109.40320607566088
2008-01-01,35.8,51.5,9.0380438716,6.9482333333333335,571.8477985327532,1949.259953570114,965.0,12.9,7.0,2.8584860572976254
2009-01-01,35.2,52.8,4.6995387311,6.830733333333334,479.8293320001478,2416.043687067792,971.0,13.2,6.0,-222.89754793797223
2010-01-01,35.6,51.2,3.8737693904,6.768958333333334,631.5581560652582,2866.079316315374,975.0,13.5,4.0,-210.1499466603484
2011-01-01,36.2,49.8,1.7849080762,6.463266666666667,758.5560609945211,3202.78847356349,977.0,13.8,2.0,-199.77534325872253
2012-01-01,36.8,48.5,2.4806318939,6.308458333333333,818.5318588040458,3331.1200137738147,977.0,14.2,0.0,86.83015303499738
2013-01-01,37.1,47.2,1.514946542,6.148033333333333,886.2897371988983,3839.547760252929,975.0,14.7,-2.0,-360.82462261237583
2014-01-01,37.5,46.5,2.2057511313,6.160658333333333,930.4582138738548,3859.1679629910873,971.0,15.2,-4.0,215.83343338167307
2015-01-01,38.0,45.8,2.5914606879,6.283016666666666,916.0237767807561,3345.1937638881377,966.0,15.8,-5.0,806.312079595016
2016-01-01,38.5,45.2,1.6713573169,6.641675,839.3828257095258,3029.775305378402,960.0,16.4,-6.0,506.8895552795742
2017-01-01,38.8,44.8,1.5090107886,6.756383333333333,907.757580255411,3158.876947213041,954.0,17.0,-6.0,60.09147704230702
2018-01-01,38.9,44.5,0.1710082402,6.612266666666667,1007.1040137182612,3091.8812571990848,948.0,17.7,-6.0,91.18953528991972
2019-01-01,39.1,44.2,0.7061966835,6.907033333333334,1000.8444479102709,3127.4938580363596,942.0,18.4,-6.0,67.21081634404662
2020-01-01,38.5,44.8,1.6475519044,6.899908333333333,1022.5912757506923,3238.782371433715,935.0,19.2,-7.0,135.78519379807054
2021-01-01,38.9,45.2,1.9399130571,6.449891666666667,1347.303717454213,3313.920330628852,928.0,20.0,-7.0,277.95917087968877
2022-01-01,39.2,45.8,2.4217758386,6.730625,1442.3340615576199,3189.689108813779,920.0,20.9,-8.0,567.8222115235021
2023-01-01,39.5,46.1,1.4415833949,7.0797,1378.912509137533,3301.319727518985,911.0,21.8,-9.0,151.75180901555183
2024-01-01,39.8,46.5,2.2609315755,7.195833333333333,1434.584920571886,3264.8038697391207,902.0,22.8,-9.0,460.30042211866663
