TFP,Scenario,Gate fires (%),Median gate year,P10,P90,Gate failed (%),CLC breach (%),BTAR breach (%),Full break (%),κ diverges (%),Yield 90pct (bps),Run date
3%,none,100.0,Y9,Y8,Y10,0.0,0.0,96.8,0.0,100.0,0,2026-04-13 00:41
3%,post_ceasefire,100.0,Y9,Y8,Y10,96.7,100.0,96.7,96.7,100.0,918,2026-04-13 00:41
3%,hormuz,100.0,Y9,Y8,Y10,96.1,63.9,96.1,60.0,100.0,946,2026-04-13 00:41
3%,hormuz_then_ceasefire,100.0,Y9,Y8,Y10,96.4,63.1,96.4,59.5,100.0,946,2026-04-13 00:41
5%,none,100.0,Y9,Y8,Y10,0.0,0.0,96.5,0.0,100.0,0,2026-04-13 00:41
5%,post_ceasefire,100.0,Y9,Y8,Y10,96.6,100.0,96.6,96.6,100.0,919,2026-04-13 00:41
5%,hormuz,100.0,Y9,Y8,Y10,96.8,63.9,96.8,60.7,100.0,945,2026-04-13 00:41
5%,hormuz_then_ceasefire,100.0,Y9,Y8,Y10,96.6,64.5,96.6,61.1,100.0,946,2026-04-13 00:41
7%,none,100.0,Y9,Y8,Y10,0.0,0.0,96.5,0.0,43.8,0,2026-04-13 00:41
7%,post_ceasefire,100.0,Y9,Y8,Y10,96.2,100.0,96.2,96.2,96.2,919,2026-04-13 00:41
7%,hormuz,100.0,Y9,Y8,Y10,96.2,64.1,96.2,60.3,99.8,946,2026-04-13 00:41
7%,hormuz_then_ceasefire,100.0,Y9,Y8,Y10,96.4,63.8,96.4,60.2,99.8,946,2026-04-13 00:41
9%,none,100.0,Y9,Y8,Y10,0.0,0.0,96.9,0.0,0.0,0,2026-04-13 00:41
9%,post_ceasefire,100.0,Y9,Y8,Y10,96.7,100.0,96.7,96.7,1.1,918,2026-04-13 00:41
9%,hormuz,100.0,Y9,Y8,Y10,96.6,64.1,96.6,60.7,34.7,946,2026-04-13 00:41
9%,hormuz_then_ceasefire,100.0,Y9,Y8,Y10,96.5,63.9,96.5,60.4,35.9,947,2026-04-13 00:42
13%,none,100.0,Y9,Y8,Y10,0.0,0.0,96.7,0.0,0.0,0,2026-04-13 00:42
13%,post_ceasefire,100.0,Y9,Y8,Y10,96.6,100.0,96.6,96.6,0.0,919,2026-04-13 00:42
13%,hormuz,100.0,Y9,Y8,Y10,96.8,63.6,96.8,60.5,0.0,945,2026-04-13 00:42
13%,hormuz_then_ceasefire,100.0,Y9,Y8,Y10,96.5,64.7,96.5,61.3,0.0,946,2026-04-13 00:42
